,title,year,hour,time,type
0,ladyoferudite,2013,15,153657,like
1,ladyoferudite,2013,4,41854,like
2,someinfinites,2013,3,34309,like
3,someinfinites,2013,3,34238,like
4,someinfinites,2013,3,34231,like
5,someinfinites,2013,3,34225,like
6,someinfinites,2013,3,34137,like
7,someinfinites,2013,3,34007,like
8,rickydillon,2013,0,1527,like
9,ladyoferudite,2013,20,204836,like
10,ladyoferudite,2013,19,192623,like
11,ladyoferudite,2013,19,192621,like
12,ladyoferudite,2013,19,192601,like
13,bethanynoelm,2013,19,192518,like
14,bethanynoelm,2013,19,192456,like
15,ladyoferudite,2013,19,192418,like
16,ladyoferudite,2013,19,192326,like
17,teddysphotos,2013,19,192210,like
18,ladyoferudite,2013,2,24059,like
19,ladyoferudite,2013,2,24057,like
20,connorfranta,2013,2,24008,like
21,littlemissnorthwest,2013,2,23246,like
22,ladyoferudite,2013,2,23238,like
23,ladyoferudite,2013,2,23237,like
24,ladyoferudite,2013,2,23226,like
25,ladyoferudite,2013,22,225118,like
26,ladyoferudite,2013,22,225029,like
27,littlemissnorthwest,2013,22,225024,like
28,connorfranta,2013,22,224925,like
29,ladyoferudite,2013,19,195818,like
30,ladyoferudite,2013,19,195817,like
31,ladyoferudite,2013,19,195815,like
32,ladyoferudite,2013,19,195813,like
33,ladyoferudite,2013,19,195811,like
34,ladyoferudite,2013,19,195810,like
35,ladyoferudite,2013,19,195803,like
36,ladyoferudite,2013,19,195801,like
37,littlemissnorthwest,2013,19,195738,like
38,ladyoferudite,2013,19,195735,like
39,ladyoferudite,2013,19,195719,like
40,ladyoferudite,2013,19,195716,like
41,ladyoferudite,2013,19,195643,like
42,ladyoferudite,2013,19,195627,like
43,ladyoferudite,2013,1,15834,like
44,bethanynoelm,2013,0,940,like
45,ladyoferudite,2013,23,233850,like
46,ladyoferudite,2013,23,233841,like
47,ladyoferudite,2013,5,52456,like
48,ladyoferudite,2013,4,43559,like
49,kianlawley,2013,4,42349,like
50,kianlawley,2013,4,42334,like
51,ladyoferudite,2013,3,35316,like
52,connorfranta,2013,3,35258,like
53,ladyoferudite,2013,3,35253,like
54,littlemissnorthwest,2013,0,3123,like
55,littlemissnorthwest,2013,0,3053,like
56,ladyoferudite,2013,20,204751,like
57,bethanynoelm,2013,20,204706,like
58,ladyoferudite,2013,20,204659,like
59,bethanynoelm,2013,20,204610,like
60,connorfranta,2013,16,165309,like
61,connorfranta,2013,16,165246,like
62,ladyoferudite,2013,16,165235,like
63,ladyoferudite,2013,16,165219,like
64,ladyoferudite,2013,16,164809,like
65,littlemissnorthwest,2013,16,164804,like
66,sarahherron,2013,0,321,like
67,luluandfinn,2013,23,235905,like
68,ladyoferudite,2013,23,234924,like
69,ladyoferudite,2013,15,155450,like
70,ladyoferudite,2013,15,155439,like
71,ladyoferudite,2013,15,155356,like
72,ladyoferudite,2013,15,155325,like
73,ladyoferudite,2013,15,152335,like
74,ladyoferudite,2013,5,50258,like
75,ladyoferudite,2013,5,50221,like
76,ladyoferudite,2013,0,234,like
77,ladyoferudite,2013,0,232,like
78,kianlawley,2013,23,235153,like
79,littlemissnorthwest,2013,1,15958,like
80,rickydillon,2013,1,15954,like
81,theshadowhunt,2013,1,15922,like
82,saraijones,2013,1,15457,like
83,nohastyleicon,2013,1,15411,like
84,daily_bibleverses,2013,1,15311,like
85,xtinemay,2013,1,14632,like
86,ladyoferudite,2013,19,193309,like
87,theshadowhunt,2013,15,155721,like
88,theresacarstairs,2013,21,211717,like
89,theresacarstairs,2013,21,211714,like
90,xtinemay,2013,21,211712,like
91,joeygorga,2013,2,21621,like
92,justgirlythingsxx,2013,1,14644,like
93,tumblrappsecrets__,2013,1,14454,like
94,ladyoferudite,2013,1,14449,like
95,sophieelgort,2013,1,10035,like
96,rickydillon,2013,23,233041,like
97,theshadowhunt,2013,23,233008,like
98,theshadowhunt,2013,23,233003,like
99,theshadowhunt,2013,23,232957,like
100,xtinemay,2013,16,165148,like
101,xtinemay,2013,16,164633,like
102,xtinemay,2013,16,164613,like
103,xtinemay,2013,16,164605,like
104,xtinemay,2013,16,164543,like
105,ladyoferudite,2013,16,160618,like
106,justgirlythingsxx,2013,16,160516,like
107,someinfinites,2013,16,160503,like
108,justgirlythingsxx,2013,16,160501,like
109,samonstage_lyrics,2013,15,155757,like
110,ladyoferudite,2013,4,41034,like
111,rickydillon,2013,3,33314,like
112,connorfranta,2013,3,33307,like
113,ladyoferudite,2013,3,33257,like
114,ladyoferudite,2013,3,33252,like
115,connorfranta,2013,3,32933,like
116,littlemissnorthwest,2013,3,32457,like
117,rickydillon,2013,0,4735,like
118,msy1515,2013,0,3633,like
119,ladyoferudite,2013,0,2951,like
120,rickydillon,2013,0,2946,like
121,rickydillon,2013,22,222016,like
122,ladyoferudite,2013,22,221932,like
123,littlemissnorthwest,2013,21,212326,like
124,samonstage_lyrics,2013,21,212252,like
125,theshadowhunt,2013,20,201848,like
126,justgirlythingsxx,2013,15,155202,like
127,ladyoferudite,2013,15,154848,like
128,ladyoferudite,2013,15,154844,like
129,someinfinites,2013,5,51526,like
130,littlemissnorthwest,2013,3,35029,like
131,justgirlythingsxx,2013,3,35011,like
132,rickydillon,2013,3,34942,like
133,justgirlythingsxx,2013,3,34824,like
134,kianlawley,2013,3,34820,like
135,ladyoferudite,2013,22,223131,like
136,ladyoferudite,2013,22,223118,like
137,justgirlythingsxx,2013,22,223112,like
138,ladyoferudite,2013,22,223057,like
139,ladyoferudite,2013,22,223055,like
140,ladyoferudite,2013,22,223053,like
141,ladyoferudite,2013,22,223038,like
142,theresacarstairs,2013,22,223013,like
143,justgirlythingsxx,2013,22,222954,like
144,ladyoferudite,2013,22,222932,like
145,theshadowhunt,2013,22,222920,like
146,someinfinites,2013,22,222918,like
147,ladyoferudite,2013,22,222908,like
148,ladyoferudite,2013,22,222906,like
149,justgirlythingsxx,2013,22,222855,like
150,rickydillon,2013,22,222850,like
151,divergentsuk,2013,17,175744,like
152,ladyoferudite,2013,17,175737,like
153,ladyoferudite,2013,17,173618,like
154,divergentsuk,2013,17,173616,like
155,littlemissnorthwest,2013,17,173613,like
156,divergentsuk,2013,17,173611,like
157,ladyoferudite,2013,17,173607,like
158,ladyoferudite,2013,17,173604,like
159,divergentsuk,2013,17,173602,like
160,justgirlythingsxx,2013,17,171148,like
161,ladyoferudite,2013,17,170706,like
162,ladyoferudite,2013,17,170656,like
163,ladyoferudite,2013,17,170530,like
164,ladyoferudite,2013,17,170525,like
165,ladyoferudite,2013,17,170521,like
166,divergentsuk,2013,17,170511,like
167,rickydillon,2013,3,34737,like
168,ladyoferudite,2013,3,34719,like
169,ladyoferudite,2013,3,31319,like
170,sophieelgort,2013,3,31310,like
171,theshadowhunt,2013,2,23851,like
172,connorfranta,2013,2,23847,like
173,teddysphotos,2013,2,23833,like
174,ladyoferudite,2013,2,23803,like
175,ladyoferudite,2013,2,23451,like
176,ladyoferudite,2013,2,23444,like
177,ladyoferudite,2013,2,23438,like
178,teddysphotos,2013,2,23429,like
179,connorfranta,2013,0,1403,like
180,rickydillon,2013,0,1131,like
181,justgirlythingsxx,2013,22,223538,like
182,justgirlythingsxx,2013,21,215005,like
183,justgirlythingsxx,2013,20,205037,like
184,ladyoferudite,2013,20,205031,like
185,samonstage_lyrics,2013,19,192919,like
186,sophieelgort,2013,19,192914,like
187,ladyoferudite,2013,18,184856,like
188,sophieelgort,2013,18,180602,like
189,littlemissnorthwest,2013,18,180544,like
190,ladyoferudite,2013,18,180534,like
191,msy1515,2013,16,165215,like
192,justgirlythingsxx,2013,16,164539,like
193,ladyoferudite,2013,16,164459,like
194,ladyoferudite,2013,16,162110,like
195,someinfinites,2013,16,162104,like
196,ladyoferudite,2013,16,161048,like
197,samonstage_lyrics,2013,15,150140,like
198,samonstage_lyrics,2013,15,150052,like
199,theresacarstairs,2013,14,144038,like
200,theresacarstairs,2013,14,144021,like
201,theresacarstairs,2013,14,144016,like
202,theresacarstairs,2013,14,144013,like
203,ladyoferudite,2013,14,144009,like
204,ladyoferudite,2013,14,143952,like
205,ladyoferudite,2013,0,3236,like
206,ladyoferudite,2013,0,3233,like
207,_instafangirl,2013,22,223538,like
208,theresacarstairs,2013,22,223355,like
209,ladyoferudite,2013,22,223345,like
210,samonstage_lyrics,2013,22,223115,like
211,theresacarstairs,2013,22,223044,like
212,someinfinites,2013,22,223034,like
213,someinfinites,2013,19,195802,like
214,someinfinites,2013,19,195753,like
215,sophieelgort,2013,17,175829,like
216,sophieelgort,2013,17,175821,like
217,ladyoferudite,2013,17,175728,like
218,theresacarstairs,2013,17,175720,like
219,justgirlythingsxx,2013,15,151657,like
220,theresacarstairs,2013,15,151309,like
221,theresacarstairs,2013,15,151253,like
222,ladyoferudite,2013,14,144355,like
223,ladyoferudite,2013,14,144234,like
224,ladyoferudite,2013,4,45644,like
225,connorfranta,2013,4,45632,like
226,ladyoferudite,2013,4,41326,like
227,kianlawley,2013,4,40349,like
228,ladyoferudite,2013,4,40325,like
229,justgirlythingsxx,2013,4,40221,like
230,connorfranta,2013,4,40108,like
231,rickydillon,2013,4,40032,like
232,ladyoferudite,2013,4,40021,like
233,kianlawley,2013,4,40010,like
234,someinfinites,2013,3,35952,like
235,justgirlythingsxx,2013,3,35941,like
236,someinfinites,2013,3,35935,like
237,ladyoferudite,2013,3,35913,like
238,justgirlythingsxx,2013,16,165756,like
239,justgirlythingsxx,2013,16,160257,like
240,samonstage_lyrics,2013,15,153840,like
241,samonstage_lyrics,2013,15,153741,like
242,kelly_meyer0807,2013,23,234039,like
243,teddysphotos,2013,23,234036,like
244,thepansycake,2013,23,234033,like
245,theshadowhunt,2013,23,234031,like
246,theresacarstairs,2013,23,234000,like
247,xtinemay,2013,23,233953,like
248,justgirlythingsxx,2013,23,233652,like
249,kevinzegers1984,2013,23,233636,like
250,rickydillon,2013,23,233631,like
251,theresacarstairs,2013,17,171447,like
252,theresacarstairs,2013,17,171437,like
253,sophieelgort,2013,17,171434,like
254,booksaremoviesinyourmind,2013,16,165107,like
255,mortalmovie,2013,16,165052,like
256,theresacarstairs,2013,16,164448,like
257,justgirlythingsxx,2013,16,164244,like
258,dauntlesspotterjay,2013,16,164242,like
259,theshadowhunt,2013,16,164238,like
260,someinfinites,2013,16,164221,like
261,kevinzegers1984,2013,16,164204,like
262,kevinzegers1984,2013,16,164201,like
263,ladyoferudite,2013,16,164141,like
264,theshadowhunt,2013,16,163945,like
265,theshadowhunt,2013,16,163903,like
266,theshadowhunt,2013,16,163901,like
267,theshadowhunt,2013,16,163859,like
268,theshadowhunt,2013,16,163857,like
269,dauntlesspotterjay,2013,16,163849,like
270,xtinemay,2013,16,163844,like
271,thepansycake,2013,16,163818,like
272,theresacarstairs,2013,16,163803,like
273,samonstage_lyrics,2013,16,163654,like
274,theresacarstairs,2013,16,163607,like
275,theshadowhunt,2013,3,35802,like
276,theshadowhunt,2013,3,35751,like
277,justgirlythingsxx,2013,3,34014,like
278,justgirlythingsxx,2013,3,34011,like
279,kevinzegers1984,2013,3,33223,like
280,kevinzegers1984,2013,3,33218,like
281,theshadowhunt,2013,3,33214,like
282,fashionseternal,2013,3,30104,like
283,fashionseternal,2013,2,22504,like
284,justgirlythingsxx,2013,2,22503,like
285,kevinzegers1984,2013,2,22412,like
286,ladyoferudite,2013,2,22342,like
287,mortalmovie,2013,0,2143,like
288,booknerdsunite,2013,0,2041,like
289,kelly_meyer0807,2013,0,2033,like
290,hungergames_ever_after,2013,0,2024,like
