,Unnamed: 0_x,title_x,year_x,time,type_x,Unnamed: 0_y,title_y,year_y,hour,type_y
0,0.0,afraw22,2022.0,233334,comment,15574.0,supernatural_angel_girls,2017.0,23.0,like
1,1.0,jennaseri,2022.0,41405,comment,,,,,
2,2.0,rachel.sands27,2022.0,40429,comment,9373.0,stayfresh.cheesebags,2016.0,4.0,like
3,2.0,rachel.sands27,2022.0,40429,comment,35057.0,nicolaannepeltzbeckham,2021.0,4.0,like
4,3.0,u.m.ok,2022.0,41822,comment,14426.0,gabrielledesiree.photography,2017.0,4.0,like
5,4.0,u.m.ok,2022.0,41813,comment,,,,,
6,5.0,u.m.ok,2022.0,225428,comment,25546.0,oliviaculpo,2020.0,22.0,like
7,6.0,emmy.wagner22,2022.0,53038,comment,,,,,
8,7.0,oliviaa_jk,2022.0,4828,comment,10765.0,gigihadid,2016.0,0.0,like
9,7.0,oliviaa_jk,2022.0,4828,comment,12978.0,reagandoodle,2016.0,0.0,like
10,7.0,oliviaa_jk,2022.0,4828,comment,22540.0,hypebaebeauty,2019.0,0.0,like
11,8.0,paigeymc7,2022.0,191529,comment,,,,,
12,9.0,andie.rosenwald,2022.0,14654,comment,9250.0,femi_nist,2016.0,1.0,like
13,10.0,natalietassielli,2022.0,50818,comment,,,,,
14,11.0,u.m.ok,2022.0,234848,comment,26639.0,gretathunberg,2020.0,23.0,like
15,12.0,afraw22,2022.0,225325,comment,,,,,
16,13.0,jennaseri,2022.0,225240,comment,,,,,
17,14.0,madeleinesreed,2022.0,5948,comment,,,,,
18,15.0,u.m.ok,2022.0,163600,comment,,,,,
19,16.0,u.m.ok,2022.0,163210,comment,,,,,
20,17.0,jennaseri,2022.0,72022,comment,,,,,
21,18.0,paigeymc7,2022.0,223716,comment,6272.0,recoverysayings,2014.0,22.0,like
22,19.0,paigeymc7,2022.0,223650,comment,3515.0,zoesugg,2013.0,22.0,like
23,19.0,paigeymc7,2022.0,223650,comment,23235.0,maryljean,2019.0,22.0,like
24,20.0,anagg.21,2022.0,180647,comment,30111.0,hoskelsa,2020.0,18.0,like
25,296.0,yogabigabiiii,2020.0,180647,comment,30111.0,hoskelsa,2020.0,18.0,like
26,21.0,olivia.magruder,2022.0,224602,comment,,,,,
27,22.0,katie.imhof,2022.0,234316,comment,34375.0,allpeppernosalt_,2021.0,23.0,like
28,23.0,anna.hermes,2022.0,24647,comment,30597.0,sterlingmyers,2020.0,2.0,like
29,24.0,clean_oof_memes,2022.0,23248,comment,8741.0,hamiltonmusical,2016.0,2.0,like
30,25.0,personanutrition,2022.0,190135,comment,,,,,
31,26.0,paigeymc7,2022.0,21230,comment,,,,,
32,27.0,harper.hinds,2022.0,204710,comment,,,,,
33,28.0,jennaseri,2022.0,195227,comment,33093.0,margot.lee,2021.0,19.0,like
34,29.0,rogers.hallie,2022.0,11539,comment,33344.0,zagwbb,2021.0,1.0,like
