,title,year,time,type
0,afraw22,2022,233334,comment
1,jennaseri,2022,41405,comment
2,rachel.sands27,2022,40429,comment
3,u.m.ok,2022,41822,comment
4,u.m.ok,2022,41813,comment
5,u.m.ok,2022,225428,comment
6,emmy.wagner22,2022,53038,comment
7,oliviaa_jk,2022,4828,comment
8,paigeymc7,2022,191529,comment
9,andie.rosenwald,2022,14654,comment
10,natalietassielli,2022,50818,comment
11,u.m.ok,2022,234848,comment
12,afraw22,2022,225325,comment
13,jennaseri,2022,225240,comment
14,madeleinesreed,2022,5948,comment
15,u.m.ok,2022,163600,comment
16,u.m.ok,2022,163210,comment
17,jennaseri,2022,72022,comment
18,paigeymc7,2022,223716,comment
19,paigeymc7,2022,223650,comment
20,anagg.21,2022,180647,comment
21,olivia.magruder,2022,224602,comment
22,katie.imhof,2022,234316,comment
23,anna.hermes,2022,24647,comment
24,clean_oof_memes,2022,23248,comment
25,personanutrition,2022,190135,comment
26,paigeymc7,2022,21230,comment
27,harper.hinds,2022,204710,comment
28,jennaseri,2022,195227,comment
29,rogers.hallie,2022,11539,comment
30,afraw22,2022,52656,comment
31,anagg.21,2022,171440,comment
32,anagg.21,2022,171417,comment
33,annaschweppe,2022,51614,comment
34,mackenna_vandergon,2022,42410,comment
35,jennaseri,2022,53252,comment
36,mere.kr,2022,22607,comment
37,graciemc02,2022,31353,comment
38,graciemc02,2022,31348,comment
39,graciemc02,2022,12728,comment
40,lhotse394,2022,10421,comment
41,emmy.wagner22,2022,174244,comment
42,graceccolburn,2022,200858,comment
43,paigeymc7,2022,202755,comment
44,emmaeisses,2022,184624,comment
45,kenz.kelly,2022,3328,comment
46,kenz.kelly,2022,441,comment
47,kenz.kelly,2022,125,comment
48,kenz.kelly,2022,234500,comment
49,harper.hinds,2022,185130,comment
50,harper.hinds,2022,180931,comment
51,jennaseri,2022,75501,comment
52,mere.kr,2022,52245,comment
53,bellahadid,2022,201015,comment
54,69possums420,2022,12133,comment
55,anagg.21,2022,181432,comment
56,pcoxtherapper,2022,195642,comment
57,kyla.hansen,2022,35233,comment
58,pcoxtherapper,2022,234945,comment
59,hannahchristensen__,2022,170638,comment
60,kt.blair,2022,171541,comment
61,arii.andrews,2022,201952,comment
62,arii.andrews,2022,194052,comment
63,graciemc02,2022,14257,comment
64,paigeymc7,2022,4327,comment
65,mere.kr,2022,120647,comment
66,jennaseri,2022,194730,comment
67,paige_powers_,2022,180245,comment
68,kenz.kelly,2022,5506,comment
69,kenz.kelly,2022,5457,comment
70,_anna.wright_,2022,51501,comment
71,kt.blair,2022,225047,comment
72,arii.andrews,2022,181323,comment
73,taraholl21,2022,182049,comment
74,paigeymc7,2022,192448,comment
75,edifmeadif,2022,42347,comment
76,natalietassielli,2022,25424,comment
77,kt.blair,2022,224527,comment
78,paigeymc7,2022,40403,comment
79,emmy.wagner22,2022,2327,comment
80,afraw22,2022,211534,comment
81,kenz.kelly,2022,181742,comment
82,kenz.kelly,2022,192638,comment
83,kenz.kelly,2022,192627,comment
84,kenz.kelly,2022,192611,comment
85,kenz.kelly,2022,52025,comment
86,kenz.kelly,2022,41043,comment
87,kenz.kelly,2022,40358,comment
88,kenz.kelly,2022,34446,comment
89,kenz.kelly,2022,33506,comment
90,kenz.kelly,2022,33454,comment
91,kenz.kelly,2022,33446,comment
92,kenz.kelly,2022,33434,comment
93,kenz.kelly,2022,33222,comment
94,kenz.kelly,2022,33152,comment
95,kenz.kelly,2022,33019,comment
96,edithmeade,2022,32139,comment
97,kenz.kelly,2022,31630,comment
98,kenz.kelly,2022,31615,comment
99,kt.blair,2022,235347,comment
100,edifmeadif,2022,41848,comment
101,keara_ryan,2022,172024,comment
102,max_.olson,2022,224548,comment
103,anna.hermes,2022,33816,comment
104,anagg.21,2022,204232,comment
105,harper.hinds,2022,142649,comment
106,andie.rosenwald,2022,55441,comment
107,natalietassielli,2022,30512,comment
108,kenz.kelly,2022,15336,comment
109,kenz.kelly,2022,15327,comment
110,mere.kr,2022,601,comment
111,kenz.kelly,2022,214820,comment
112,kenz.kelly,2022,214812,comment
113,h.m.ehly,2022,180125,comment
114,arii.andrews,2022,201437,comment
115,arii.andrews,2022,201417,comment
116,kt.blair,2022,52609,comment
117,lilyamillerr,2022,173008,comment
118,andie.rosenwald,2022,5752,comment
119,oliviaa_jk,2022,192703,comment
120,anna.hermes,2022,182140,comment
121,katie.imhof,2022,50130,comment
122,harper.hinds,2022,131154,comment
123,harper.hinds,2022,125208,comment
124,thebackofficial,2022,173006,comment
125,paigeymc7,2022,14452,comment
126,gu.missedconnections,2022,232044,comment
127,fitnesssaunders,2022,163135,comment
128,afraw22,2022,32029,comment
129,gubulldogbandmemes,2022,21317,comment
130,paigeymc7,2022,40747,comment
131,jennaseri,2021,233631,comment
132,gabibleha,2021,214233,comment
133,syd.essler,2021,41933,comment
134,natalietassielli,2021,35302,comment
135,kenz.kelly,2021,61505,comment
136,kenz.kelly,2021,12512,comment
137,kenz.kelly,2021,12152,comment
138,kenz.kelly,2021,230016,comment
139,hannahchristensen__,2021,231647,comment
140,katee.kellyy,2021,32044,comment
141,mere.kr,2021,20609,comment
142,madeleinesreed,2021,211241,comment
143,madeleinesreed,2021,192040,comment
144,paigeymc7,2021,24238,comment
145,paigeymc7,2021,23938,comment
146,paigeymc7,2021,23847,comment
147,kenz.kelly,2021,23829,comment
148,kenz.kelly,2021,23121,comment
149,paigeymc7,2021,22918,comment
150,harper.hinds,2021,5759,comment
151,harper.hinds,2021,4607,comment
152,harper.hinds,2021,4113,comment
153,thebackofficial,2021,1806,comment
154,thebackofficial,2021,1645,comment
155,lilyamillerr,2021,90557,comment
156,lilyamillerr,2021,90320,comment
157,tylerishak,2021,82039,comment
158,tylerishak,2021,62434,comment
159,taraholl21,2021,10418,comment
160,taraholl21,2021,4456,comment
161,zagdining,2021,5727,comment
162,edifmeadif,2021,235619,comment
163,mere.kr,2021,15606,comment
164,mere.kr,2021,15558,comment
165,harper.hinds,2021,71735,comment
166,natalietassielli,2021,32522,comment
167,tristansmothers,2021,22130,comment
168,harper.hinds,2021,2528,comment
169,fitnesssaunders,2021,210548,comment
170,paigeymc7,2021,144444,comment
171,anna.hermes,2021,24441,comment
172,mere.kr,2021,35144,comment
173,gracelansberry,2021,33911,comment
174,natalietassielli,2021,34203,comment
175,tristansmothers,2021,30146,comment
176,tristansmothers,2021,230552,comment
177,h.m.ehly,2021,3733,comment
178,corbin.moore8,2021,182257,comment
179,hannahchristensen__,2021,230530,comment
180,hannahchristensen__,2021,210408,comment
181,katee.kellyy,2021,234549,comment
182,kenz.kelly,2021,62812,comment
183,kenz.kelly,2021,53449,comment
184,kenz.kelly,2021,42630,comment
185,kenz.kelly,2021,33844,comment
186,haileysani,2021,201827,comment
187,natalietassielli,2021,23601,comment
188,graceccolburn,2021,203846,comment
189,katee.kellyy,2021,195306,comment
190,rogers.hallie,2021,43234,comment
191,natalietassielli,2021,2337,comment
192,mere.kr,2021,60443,comment
193,syd.essler,2021,24207,comment
194,_alana_8150,2021,25401,comment
195,mere.kr,2021,22611,comment
196,katee.kellyy,2021,2202,comment
197,blklivesmatter,2021,53643,comment
198,paigeymc7,2021,24119,comment
199,amandabisk,2021,185038,comment
200,kenz.kelly,2021,180354,comment
201,kenz.kelly,2021,102,comment
202,kenz.kelly,2021,234059,comment
203,kenz.kelly,2021,234043,comment
204,kenz.kelly,2021,232035,comment
205,kenz.kelly,2021,232022,comment
206,kenz.kelly,2021,214446,comment
207,hannahchristensen__,2021,212144,comment
208,allisonvermilya,2021,10141,comment
209,mia.person,2021,233221,comment
210,_alana_8150,2021,43142,comment
211,madshasacaffeineaddiction,2021,33707,comment
212,syd.essler,2021,22344,comment
213,hannahchristensen__,2021,205429,comment
214,ray_silverman_,2021,205345,comment
215,ray_silverman_,2021,204239,comment
216,jennaseri,2021,171149,comment
217,tristansmothers,2021,153658,comment
218,lexi.anne.white,2021,43455,comment
219,graceccolburn,2021,172435,comment
220,graceccolburn,2021,172401,comment
221,_.mmontoya._,2021,82447,comment
222,hannahchristensen__,2021,191445,comment
223,lexi.anne.white,2021,41116,comment
224,fitnesssaunders,2021,175501,comment
225,alexbratttt,2021,55900,comment
226,katee.kellyy,2021,51337,comment
227,mere.kr,2021,40828,comment
228,itsmissmali,2021,3457,comment
229,itsmissmali,2021,234620,comment
230,gabibleha,2021,4333,comment
231,mere.kr,2021,62726,comment
232,hannahjjohanson,2021,181102,comment
233,hypebaebeauty,2021,13608,comment
234,carlylame,2021,5138,comment
235,madyreed5,2021,182424,comment
236,selaheide,2021,40155,comment
237,paul.talens,2021,30518,comment
238,itsmissmali,2021,221046,comment
239,itsmissmali,2021,31106,comment
240,jourdansloane,2021,212804,comment
241,brennamessner,2021,232223,comment
242,itsmissmali,2021,230729,comment
243,graceccolburn,2021,14027,comment
244,hannahchristensen__,2021,224416,comment
245,fitnesssaunders,2021,165048,comment
246,thatskiaratoyou,2021,20052,comment
247,alexbratttt,2021,214747,comment
248,bgkwilson,2021,1521,comment
249,olivia_fraser,2021,12513,comment
250,katee.kellyy,2021,50255,comment
251,hannahchristensen__,2020,10202,comment
252,madeleinesreed,2020,225036,comment
253,baileyyhadley,2020,223240,comment
254,yogabigabiiii,2020,33834,comment
255,yogabigabiiii,2020,30735,comment
256,kenz.kelly,2020,52813,comment
257,kenz.kelly,2020,52803,comment
258,carlylame,2020,190842,comment
259,gabibleha,2020,15908,comment
260,alexbratthole,2020,200525,comment
261,allisonvermilya,2020,5144,comment
262,zagdining,2020,193918,comment
263,mere.kr,2020,15851,comment
264,fitnesssaunders,2020,183939,comment
265,jordan.lonergan,2020,40816,comment
266,alexbratttt,2020,65739,comment
267,alexbratttt,2020,65154,comment
268,alexbratttt,2020,65047,comment
269,fitnesssaunders,2020,191826,comment
270,fitnesssaunders,2020,221103,comment
271,fitnesssaunders,2020,174958,comment
272,yogabigabiiii,2020,203624,comment
273,hannahchristensen__,2020,231344,comment
274,hannahchristensen__,2020,220645,comment
275,natalietassielli,2020,31700,comment
276,kassi.winter,2020,184218,comment
277,yogabigabiiii,2020,5401,comment
278,kelly_morrison,2020,54035,comment
279,carlylame,2020,195650,comment
280,gabibleha,2020,12205,comment
281,suspiciouslocker,2020,225420,comment
282,suspiciouslocker,2020,203747,comment
283,yogabigabiiii,2020,12448,comment
284,rogers.hallie,2020,192218,comment
285,hannahchristensen__,2020,62812,comment
286,hannahchristensen__,2020,62527,comment
287,hannahchristensen__,2020,61633,comment
288,ainsley9_,2020,40738,comment
289,rogers.hallie,2020,62325,comment
290,kelly_morrison,2020,14600,comment
291,gabibleha,2020,2851,comment
292,mshsseniors2020,2020,170736,comment
293,mshsseniors2020,2020,25430,comment
294,yogabigabiiii,2020,221734,comment
295,yogabigabiiii,2020,214612,comment
296,yogabigabiiii,2020,180647,comment
297,hannahchristensen__,2020,25640,comment
298,bellahadid,2020,20507,comment
299,sammy.markley,2020,215912,comment
300,tristansmothers,2020,14954,comment
301,ainsley9_,2020,50127,comment
302,baileyyhadley,2020,22651,comment
303,bellas_2nd2nd_account,2020,205845,comment
304,thatgoldengal,2020,221114,comment
305,yogabigabiiii,2020,235451,comment
306,sammy.kremer,2020,195456,comment
307,yogabigabiiii,2020,31349,comment
308,yogabigabiiii,2020,191402,comment
309,selaheide,2020,211728,comment
310,mountsijournalism,2020,190947,comment
311,yogabigabiiii,2019,40835,comment
312,yogabigabiiii,2019,40819,comment
313,mountsijournalism,2019,53429,comment
314,tiktokartvids,2019,43118,comment
315,yogabigabiiii,2019,2730,comment
316,torigarciia,2019,25536,comment
317,thatskiaratoyou,2019,174811,comment
318,yogabigabiiii,2019,232802,comment
319,sammy.markley,2019,32208,comment
320,yogabigabiiii,2019,220814,comment
321,gabibleha,2019,231123,comment
322,yogabigabiiii,2019,231107,comment
323,gabibleha,2019,215905,comment
324,yogabigabiiii,2019,232611,comment
325,yogabigabiiii,2019,232605,comment
326,yogabigabiiii,2019,15945,comment
327,yogabigabiiii,2019,161202,comment
328,oliviaobrien,2019,173759,comment
329,natalietassielli,2019,15631,comment
330,baileyyhadley,2019,230729,comment
331,jerry_zhu_zoo,2019,224749,comment
332,nikeportlandxc,2019,184338,comment
333,bellahadid,2019,184219,comment
334,3.1415926535897932384626433832,2019,232854,comment
335,yogabigabiiii,2019,25853,comment
